Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,68.449997,68.699997,68.139999,68.220001,52.903095,2515796
2019-11-28,68.699997,68.980003,68.360001,68.75,53.314098,1353756
2019-11-27,69.470001,69.809998,68.639999,68.830002,53.376141,2120921
2019-11-26,69.800003,69.949997,69.010002,69.190002,53.655308,2531474
2019-11-25,70.349998,70.480003,69.580002,69.949997,54.244671,1353460
2019-11-22,69.629997,70.449997,69.440002,69.68,54.03529,2386929
2019-11-21,69.0,69.599998,68.449997,69.449997,53.85693,2684034
2019-11-20,69.5,69.779999,68.809998,69.580002,53.957748,2726729
2019-11-19,70.269997,70.889999,69.489998,69.779999,54.112835,2645786
2019-11-18,70.5,70.790001,69.529999,69.860001,54.174877,1700706
2019-11-15,70.5,70.730003,70.080002,70.489998,54.663429,2551647
2019-11-14,69.900002,70.239998,69.470001,70.209999,54.446293,2032013
2019-11-13,70.690002,70.860001,69.739998,70.050003,54.322224,2396666
2019-11-12,70.43,71.25,70.300003,71.07,55.113205,1901023
2019-11-11,70.309998,70.769997,69.739998,70.370003,54.570374,2997426
2019-11-08,70.980003,71.410004,70.599998,70.980003,55.043415,2793488
2019-11-07,71.809998,72.169998,71.459999,71.480003,55.431156,2707986
2019-11-06,70.889999,71.389999,70.75,71.370003,55.345852,2294288
2019-11-05,70.650002,71.309998,70.419998,71.029999,55.082184,2977680
2019-11-04,69.440002,70.419998,69.300003,70.290001,54.508335,2915507
2019-11-01,68.559998,69.300003,67.839996,69.0,53.507969,2481884
2019-10-31,68.980003,68.980003,67.150002,68.230003,52.910851,3701715
2019-10-30,69.849998,70.129997,68.459999,68.809998,53.36063,3091222
2019-10-29,69.919998,70.230003,69.25,70.0,54.283447,2181498
2019-10-28,70.900002,71.160004,69.879997,69.989998,54.275688,3099570
2019-10-25,69.769997,70.639999,69.419998,70.620003,54.76424,2662879
2019-10-24,68.099998,70.169998,67.339996,70.080002,54.345482,5298785
2019-10-23,66.919998,68.160004,66.809998,67.790001,52.569641,3039500
2019-10-22,67.699997,68.0,66.910004,67.239998,52.143124,2642202
2019-10-21,66.599998,68.160004,66.5,67.610001,52.430054,3792488
2019-10-18,66.0,66.57,65.650002,66.309998,51.421928,2819712
2019-10-17,66.07,67.209999,65.900002,66.129997,51.282345,3696680
2019-10-16,65.260002,66.330002,65.010002,66.209999,51.344383,3419021
2019-10-15,64.910004,66.019997,64.910004,65.459999,50.762772,3023952
2019-10-14,64.790001,64.800003,63.869999,64.589996,50.088104,1884359
2019-10-11,63.040001,64.900002,62.950001,64.860001,50.297489,3323681
2019-10-10,61.950001,63.34,61.84,62.98,48.839588,2980110
2019-10-09,61.490002,62.59,61.349998,62.049999,48.118397,1752317
2019-10-08,62.48,62.48,61.299999,61.599998,47.769432,1884367
2019-10-07,61.290001,62.450001,60.900002,62.400002,48.389812,1999732
2019-10-04,61.77,62.009998,60.779999,61.610001,47.777184,2879680
2019-10-02,63.110001,63.139999,61.77,61.77,47.901264,3241588
2019-10-01,64.480003,64.620003,63.23,63.25,49.048969,2725729
2019-09-30,63.700001,64.190002,63.48,64.120003,49.723637,2429494
2019-09-27,62.799999,64.040001,62.57,63.540001,49.273861,3125084
2019-09-26,61.779999,62.48,61.66,61.990002,48.071869,2045015
2019-09-25,61.130001,61.869999,60.950001,61.830002,47.947788,2606665
2019-09-24,63.700001,63.709999,62.0,62.0,48.079624,2220577
2019-09-23,63.630001,63.880001,62.259998,63.419998,49.180801,2572247
2019-09-20,64.0,64.0,63.18,63.889999,49.545277,6376144
2019-09-19,63.740002,64.309998,63.41,63.919998,49.568539,2578658
2019-09-18,64.300003,64.470001,63.860001,64.019997,49.646084,2149888
2019-09-17,65.440002,65.690002,64.029999,64.279999,49.84771,3644039
2019-09-16,65.300003,67.239998,65.220001,65.669998,50.925625,3190395
2019-09-13,64.5,65.959999,64.370003,65.75,50.987667,3040730
2019-09-12,64.989998,65.220001,63.66,64.410004,49.948528,3452195
2019-09-11,64.099998,64.940002,64.050003,64.660004,50.142399,3414862
2019-09-10,62.029999,63.950001,61.990002,63.869999,49.52977,3842761
2019-09-09,61.599998,62.419998,61.529999,62.279999,48.296757,1990837
2019-09-06,61.150002,61.540001,60.610001,61.459999,47.660862,2155002
2019-09-05,60.5,61.240002,60.349998,61.009998,47.311901,2026181
2019-09-04,60.099998,60.540001,59.919998,60.209999,46.691517,1896708
2019-09-03,59.830002,59.84,59.009998,59.360001,46.032364,2108579
2019-09-02,60.099998,60.389999,59.869999,60.009998,46.536423,1203293
2019-08-30,59.889999,60.540001,59.73,60.18,46.668259,2438433
2019-08-29,58.400002,59.75,58.049999,59.669998,46.272755,2665213
2019-08-28,58.110001,58.560001,57.650002,58.48,45.349941,2197066
2019-08-27,57.849998,58.939999,57.59,58.240002,45.16383,2022682
2019-08-26,57.849998,58.349998,57.599998,58.0,44.977711,2032593
2019-08-23,59.560001,59.810001,58.029999,58.07,45.031994,2908593
2019-08-22,58.82,60.099998,58.529999,59.060001,45.799717,2463620
2019-08-21,58.060001,59.25,57.990002,58.990002,45.745434,2161995
2019-08-20,58.099998,58.580002,57.509998,57.849998,44.861389,2396361
2019-08-19,57.799999,58.27,57.330002,57.970001,44.954449,2408168
2019-08-16,56.470001,57.099998,56.25,56.849998,44.085911,2818232
2019-08-15,57.549999,57.700001,55.639999,56.200001,43.581852,4391184
2019-08-14,58.709999,58.82,57.099998,57.32,44.45039,3283316
2019-08-13,57.75,59.400002,57.049999,58.669998,45.49728,3581840
2019-08-12,58.52,58.98,57.700001,58.0,44.977711,1903955
2019-08-09,58.200001,58.669998,57.869999,58.130001,45.078522,2843298
2019-08-08,57.59,58.66,56.880001,58.490002,45.357697,4494426
2019-08-07,56.939999,57.360001,56.16,56.779999,44.031624,3278518
2019-08-06,56.93,57.59,56.389999,56.529999,43.837761,3575530
2019-08-05,57.0,57.18,56.27,56.610001,43.899799,4679929
2019-08-02,59.299999,59.299999,57.59,58.209999,45.140564,6368821
2019-08-01,60.200001,60.91,60.02,60.700001,47.071503,2634549
2019-07-31,60.41,61.330002,60.369999,60.529999,46.939667,2317745
2019-07-30,62.009998,62.189999,60.23,60.439999,46.869877,3196779
2019-07-29,61.700001,62.290001,61.540001,62.209999,48.242474,1916241
2019-07-26,61.880001,62.09,61.48,61.939999,48.033092,2926531
2019-07-25,64.0,64.139999,61.369999,62.759998,48.66898,4251511
2019-07-24,63.610001,64.190002,63.259998,63.860001,49.522015,2956366
2019-07-23,61.849998,64.190002,61.740002,63.669998,49.374668,4854762
2019-07-22,60.91,61.66,60.790001,61.259998,47.505768,1945846
2019-07-19,60.790001,61.43,60.509998,60.799999,47.149048,2588639
2019-07-18,60.59,60.84,60.130001,60.43,46.862122,2067697
2019-07-17,61.709999,61.869999,60.639999,60.84,47.180069,2361309
2019-07-16,61.09,61.990002,61.0,61.709999,47.854733,2400609
2019-07-15,60.400002,61.139999,60.34,61.029999,47.327412,2487748
2019-07-12,59.560001,60.799999,59.560001,60.220001,46.699272,2667102
2019-07-11,60.110001,60.27,59.349998,59.5,46.14093,2806825
2019-07-10,59.91,60.43,59.75,60.119999,46.621727,3257291
2019-07-09,59.0,60.880001,58.549999,60.509998,46.92416,8896331
2019-07-08,62.009998,63.099998,62.009998,62.59,48.537151,1856960
2019-07-05,62.599998,62.73,61.98,62.560001,48.513893,2377733
2019-07-04,62.639999,63.130001,62.419998,62.68,48.606949,1661051
2019-07-03,62.599998,63.0,62.259998,62.580002,48.529404,2079075
2019-07-02,63.669998,63.810001,62.57,62.73,48.645721,3028865
2019-07-01,65.0,65.360001,63.959999,63.959999,49.59956,2608038
2019-06-28,63.360001,64.150002,63.009998,63.919998,49.568539,3667760
2019-06-27,62.549999,63.540001,62.490002,63.080002,48.917137,3495773
2019-06-26,61.599998,62.650002,61.380001,62.119999,48.17268,2156543
2019-06-25,61.720001,62.59,61.599998,61.740002,47.878002,2299732
2019-06-24,62.52,62.849998,61.869999,62.049999,48.118397,1919539
2019-06-21,62.599998,63.32,62.240002,62.689999,48.6147,8161447
2019-06-20,62.810001,63.099998,61.93,62.540001,48.498379,2802066
2019-06-19,61.799999,62.700001,61.66,62.200001,48.234718,3110409
2019-06-18,60.0,61.970001,59.509998,61.59,47.761677,3763827
2019-06-17,60.560001,60.700001,59.799999,59.98,46.513157,2303947
2019-06-14,61.59,61.639999,60.07,60.48,46.900894,3856149
2019-06-13,61.5,61.810001,61.040001,61.639999,47.800449,2874424
2019-06-12,62.299999,62.68,61.560001,61.950001,48.040852,2551170
2019-06-11,62.240002,63.32,62.049999,62.779999,48.684494,3390121
2019-06-07,61.400002,61.779999,60.98,61.279999,47.521278,2426526
2019-06-06,61.060001,61.919998,60.369999,60.880001,47.211086,2750179
2019-06-05,61.32,61.970001,60.709999,61.060001,47.350677,2962065
2019-06-04,59.02,61.66,58.75,61.32,47.552299,4581537
2019-06-03,58.830002,59.290001,58.5,59.150002,45.869514,2832153
2019-05-31,59.0,59.220001,58.41,59.060001,45.799717,3639236
2019-05-30,59.880001,60.150002,59.619999,59.82,46.38908,1371178
2019-05-29,59.150002,59.709999,58.75,59.57,46.19521,4394918
2019-05-28,61.299999,61.5,59.889999,59.889999,46.443359,4551667
2019-05-27,61.25,61.57,60.830002,60.990002,47.296391,1201864
2019-05-24,61.080002,61.369999,60.59,60.73,47.094765,2267281
2019-05-23,61.419998,61.5,60.139999,60.560001,46.962936,3982009
2019-05-22,62.02,62.41,61.299999,62.040001,48.110645,2489306
2019-05-21,62.48,62.810001,61.869999,62.220001,48.250229,2578149
2019-05-20,63.610001,63.639999,61.610001,61.93,48.025341,4039262
2019-05-17,64.199997,64.279999,62.970001,63.560001,49.289371,5504695
2019-05-16,63.32,64.75,62.959999,64.599998,50.095863,3301997
2019-05-15,63.5,64.089996,62.27,63.57,49.297123,3609118
2019-05-14,63.580002,64.050003,62.959999,63.139999,48.963669,3109612
2019-05-13,65.379997,65.389999,63.099998,63.150002,48.971424,4202148
2019-05-10,66.389999,66.620003,64.860001,65.230003,50.584423,3441834
2019-05-09,66.529999,66.529999,65.169998,65.519997,50.809299,3211061
2019-05-08,66.150002,67.610001,66.129997,66.730003,51.747639,3758625
2019-05-07,68.989998,69.019997,66.089996,66.449997,51.530495,4776580
2019-05-06,67.989998,69.019997,67.190002,69.0,53.507969,5372462
2019-05-03,72.440002,73.269997,71.860001,72.870003,54.027542,4297680
2019-05-02,72.720001,72.800003,71.739998,72.330002,53.627167,3893571
2019-04-30,72.519997,72.760002,72.029999,72.489998,53.745796,2999069
2019-04-29,73.400002,73.480003,72.349998,72.480003,53.73838,2163291
2019-04-26,72.599998,72.959999,72.239998,72.82,53.990467,1975429
2019-04-25,72.980003,73.089996,72.199997,72.760002,53.945984,2932073
2019-04-24,74.139999,74.309998,72.419998,73.169998,54.249958,3518218
2019-04-23,74.5,74.599998,73.629997,74.489998,55.228642,2493368
2019-04-18,74.129997,74.43,73.25,74.160004,54.983971,3641930
2019-04-17,73.199997,74.610001,73.160004,73.93,54.813446,3553945
2019-04-16,72.379997,73.800003,72.25,72.93,54.072025,3081269
2019-04-15,72.239998,72.629997,72.010002,72.150002,53.493717,2675847
